comment,Review
Well bowled champ. You tried your best 🔥but it just wasn't our day today. ❤️,positive
Koi baat nhi sirji...come back stronger....❤️,neutral
Ignore these comments champ. It's just a game. Good luck for FINALS.❤️🇮🇳,positive
Genuine India Fans won't say anything bad! They'll support the players in bad times. I SUPPORT YOU SHAMI👏👏,negative
Please dont post unwanted comments.. Anything can happen it's a game .. Stop hating him 💔🙏🏻🙏🏻,negative
aa rahe honge shami ko anti national bolne wale.......yad karo ye wahi shami ha jo apne team players ke lie champiosn trophy final harne ke bad akele pakistani aggresive fans se lad gaya tha......kisi ke religion ke uske charachter ko judge karne walo asli gaddar to tum ho,negative
"The captain gave it all, the team gave it all, just a game where the opposition played well, heads up boys, we need to win the world cup. We are with you. 🙌",positive
All the best bro for today match,positive
❤️❤️❤️❤️,neutral
Well tried ❤️❤️,neutral
Please don't abuse anybody guys there is many more matches ahead 🙏,neutral
😍😍,neutral
